id,name,certification_point,altitude,region,address,latitude,longitude,image_url,first_char
79,천마산,정상석,812,경기도,경기 남양주시 화도읍,37.680237,127.273314,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1739_0_20190902858.jpg,ㅊ
80,천태산,정상,714,충청북도,충북 영동군 양산면,36.159169,127.6001,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/210_0_20131128685.jpg,ㅊ
81,청계산,매봉,582,서울특별시,서울 서초구 신원동,37.427998,127.043578,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/190_0_20131128455.jpg,ㅊ
82,청량산,장인봉,870,경상북도,경북 봉화군 명호면,36.794336,128.908553,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/197_0_20131128252.jpg,ㅊ
83,청화산,정상,970,충청북도,충북 괴산군 청천면,36.603707,127.920357,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_231_0_1623047180_.jpg,ㅊ
84,축령산(장성),정상,621,전라남도,전남 장성군 서삼면,35.370958,126.726042,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/207_0_20131128542.jpg,ㅊ
85,치악산,비로봉,1288,강원도,강원 원주시 소초면 학곡리 900,37.364995,128.055601,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/177_0_20131128321.jpg,ㅊ
86,칠갑산(청양),정상,561,충청남도,충남 청양군 대치면,36.413035,126.884918,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/211_0_20131128418.jpg,ㅊ
87,칠보산(괴산),정상,778,충청북도,충북 괴산군 칠성면 태성리,36.740037,127.927891,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1501_0_20180710928.jpg,ㅊ
88,태백산,천제단,1567,강원도,강원 태백시,37.096379,128.916636,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1932_0_20131128936.jpg,ㅌ
89,태화산,정상,1027,강원도,강원 영월군 영월읍,37.117592,128.485383,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/194_0_20131128468.jpg,ㅌ
90,팔공산,비로봉,1193,경상북도,경북 칠곡군 동명면 득명리 113-1,36.016377,128.694556,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_179_0_1694478701_.jpg,ㅍ
91,팔봉산(홍천),팔봉산(2봉인증),327,강원도,강원 홍천군 서면,37.695984,127.697044,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_233_0_1615351505_.jpg,ㅍ
92,팔영산,깃대봉,608,전라남도,전남 고흥군 점암면,34.617153,127.436453,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/202_0_20131128192.jpg,ㅍ
93,한라산,백록담,1950,제주특별자치도,제주,33.361009,126.535659,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_213_0_1655171937_.jpg,ㅎ
94,함백산,정상,1573,강원도,강원 정선군 고한읍,37.161181,128.917603,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_193_0_1742801415_.png,ㅎ
95,화악산(가평),중봉,1446,경기도,경기 가평군 북면,37.989347,127.498155,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/180_0_20131128571.jpg,ㅎ
96,화왕산(창녕),정상,756,경상남도,경남 창녕군 창녕읍,35.547123,128.531684,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/181_0_20131128155.jpg,ㅎ
97,황매산(산청),정상,1108,경상남도,경남 합천군 가회면,35.494066,127.974609,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/206_0_20131128471.jpg,ㅎ
98,황석산(함양),황석산 정상석,1192,경상남도,경남 함양군 서하면 봉전리,35.655174,127.755471,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_235_0_1758012130_.png,ㅎ
99,황악산(김천),정상,1111,경상북도,경북 김천시 대항면,36.118076,127.966822,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/234_0_20131128246.jpg,ㅎ
